accountName,weekEnding,organicVisits,paidSearchCost,displayCost,premiumDisplayCost,remarketingCost
peacefulCamel,09/20/15,706.0894475,3174.87879,461.5059376,0,66.81692837
peacefulCamel,09/27/15,718.975797,2805.693277,340.6115361,0,52.55305728
peacefulCamel,10/04/15,761.9729665,2552.033798,342.6395015,0,52.73170767
peacefulCamel,10/11/15,761.0517108,2472.283155,335.149657,0,52.60502398
peacefulCamel,10/18/15,787.9924558,1854.082567,328.4247348,0,49.59481413
peacefulCamel,10/25/15,819.0683051,2841.059631,265.2429901,0,52.69142803
peacefulCamel,11/01/15,926.0136328,2735.098542,363.2796707,0,52.39760393
peacefulCamel,11/08/15,914.9127243,2641.077758,368.3495184,0,48.67752852
peacefulCamel,11/15/15,914.0127757,2280.014885,346.7537978,0,53.69537384
peacefulCamel,11/22/15,963.0943036,2415.732776,251.2672938,0,120.904525
peacefulCamel,11/29/15,833.0565172,2960.023432,89.06880288,0,261.4143516
peacefulCamel,12/06/15,745.9472632,2811.940214,229.2537376,0,167.4744677
peacefulCamel,12/13/15,846.0708159,2517.616084,354.057796,0,198.5118418
peacefulCamel,12/20/15,764.9634082,1973.362929,204.494796,0,141.731693
peacefulCamel,12/27/15,708.9260282,2760.088593,147.9921611,0,70.53345384
peacefulCamel,01/03/16,659.0331977,2777.583053,156.4217684,0,157.0245565
peacefulCamel,01/10/16,769.0164574,2737.939333,267.6368753,0,417.4791257
peacefulCamel,01/17/16,787.9816738,1855.77229,184.8445442,0,201.9654412
peacefulCamel,01/24/16,695.0523467,2884.328639,200.123374,0,210.6019535
peacefulCamel,01/31/16,779.9717057,2846.878265,182.7722939,0,210.6541392
peacefulCamel,02/07/16,759.9895886,2916.156447,197.7310601,0,211.2873502
peacefulCamel,02/14/16,773.9634377,2285.595028,207.9819929,0,203.6146946
peacefulCamel,02/21/16,781.9116664,2306.866988,190.09139,0,205.369318
peacefulCamel,02/28/16,716.0556775,2741.933382,178.3717499,0,211.896092
peacefulCamel,03/06/16,793.076453,2666.567273,205.4488918,0,204.2561237
peacefulCamel,03/13/16,693.0626781,2388.515574,92.24109476,0,157.1181603
elatedBaboon,09/01/13,156.0047702,755.7211839,293.9226995,546.0754578,94.2317598
elatedBaboon,09/08/13,200.0506367,819.2767215,262.073297,314.6667464,71.48724045
elatedBaboon,09/15/13,218.9441865,886.1747533,118.5356771,183.945832,28.54210136
elatedBaboon,09/22/13,159.9903171,876.9917578,131.7082415,188.5645416,5.495553072
elatedBaboon,09/29/13,181.0618747,718.035217,268.8585935,138.4477369,63.61679889
elatedBaboon,10/06/13,187.0132999,824.1936365,277.733561,145.6076194,153.8018656
elatedBaboon,10/13/13,174.9914389,848.3145011,276.2943186,143.1524184,161.6095518
elatedBaboon,10/20/13,189.0152375,865.3972993,594.0133986,682.6877437,111.683109
elatedBaboon,10/27/13,226.9052091,894.1122468,286.5780612,289.563122,115.1961998
elatedBaboon,11/03/13,179.9929469,757.1095072,291.822343,697.342777,116.2226275
elatedBaboon,11/10/13,204.009651,962.4073856,212.3420263,368.3962111,89.83903499
elatedBaboon,11/17/13,218.9068202,1261.945118,352.3506156,0.95644108,139.0979627
elatedBaboon,11/24/13,152.9220014,1134.653432,279.7377509,0.591792422,113.2577065
elatedBaboon,12/01/13,208.9113262,1158.09352,278.7147175,0.016770147,111.7964765
elatedBaboon,12/08/13,227.9484381,1197.284159,277.4206218,0.032617126,104.1769319
elatedBaboon,12/15/13,237.0586941,1185.587737,277.4411727,0.028596178,107.8861712
elatedBaboon,12/22/13,249.938024,1163.70283,276.6295883,0,122.3082646
elatedBaboon,12/29/13,193.0842219,1195.178502,276.6381753,0,111.8435952
elatedBaboon,01/05/14,215.0121017,1145.981115,278.100473,0,110.8833636
elatedBaboon,01/12/14,157.0106676,1260.616161,279.0794051,0,112.2355958
elatedBaboon,01/19/14,228.076859,1322.850926,277.4719188,0,112.1309854
elatedBaboon,01/26/14,216.9194787,1264.717065,288.779424,0,112.3174047
elatedBaboon,02/02/14,154.0209894,1256.276789,285.5417864,0,103.729357
elatedBaboon,02/09/14,168.0616661,1274.921743,289.3291138,0,129.2286345
elatedBaboon,02/16/14,248.9849133,1224.910639,283.2986878,0,109.9171668
elatedBaboon,02/23/14,265.9588489,1214.781103,262.2310995,0,101.1419023
elatedBaboon,03/02/14,202.0994845,1278.080003,272.2595693,0,106.3074766
elatedBaboon,03/09/14,253.9321387,1310.713979,276.017946,0,70.99926954
elatedBaboon,03/16/14,254.0998117,1252.746404,311.7756813,0,123.6207415
elatedBaboon,03/23/14,236.023935,1001.723174,300.5840223,0,83.08379157
elatedBaboon,03/30/14,212.0737644,1208.133205,299.0368941,0,106.827324
elatedBaboon,04/06/14,236.9410263,1192.682516,301.0597023,0,103.2766221
elatedBaboon,04/13/14,214.9304317,1331.457097,314.6648639,0,83.98031749
elatedBaboon,04/20/14,205.9478416,1385.284831,294.772114,0,111.401057
elatedBaboon,04/27/14,251.9532346,1203.215566,290.9324478,0,91.86960933
elatedBaboon,05/04/14,235.9835477,1287.872364,490.8273149,0,113.3971548
elatedBaboon,05/11/14,194.9904148,1374.528633,266.9680224,0,95.12014989
elatedBaboon,05/18/14,175.9639211,1199.322038,263.087703,0,91.9892592
elatedBaboon,05/25/14,204.9745747,1212.516994,385.0644847,0,57.49334029
elatedBaboon,06/01/14,196.0823615,1365.166663,318.268194,0,70.93598373
elatedBaboon,06/08/14,245.9527174,1332.198137,324.9801279,0,34.90071346
elatedBaboon,06/15/14,188.9534447,1321.421156,380.2902814,0,53.84740141
elatedBaboon,06/22/14,223.0951872,1138.753076,341.734034,0,30.70137818
elatedBaboon,06/29/14,262.0979938,1037.943961,374.3999687,0,54.06189091
elatedBaboon,07/06/14,216.979228,1443.125373,277.0459707,0,54.43555058
elatedBaboon,07/13/14,229.9879831,1306.78015,0,0,54.47027703
elatedBaboon,07/20/14,217.0494104,1169.583092,141.4035189,0,35.19203949
elatedBaboon,07/27/14,221.0757701,1206.217516,172.8456201,0,48.49419745
elatedBaboon,08/03/14,274.9700236,1219.485375,168.4992097,0,47.94162139
elatedBaboon,08/10/14,323.0490871,1127.337371,178.0638819,0,40.9084557
elatedBaboon,08/17/14,337.9526683,1056.089207,175.1967988,0,64.53799625
elatedBaboon,08/24/14,309.0199563,1079.913595,174.4365459,0,44.66929673
elatedBaboon,08/31/14,270.9385248,1296.136815,176.6631532,0,45.57381122
elatedBaboon,09/07/14,305.0182227,1225.473516,176.2638698,0,44.1944338
elatedBaboon,09/14/14,304.9751727,1105.264055,123.6126359,0,106.0126961
elatedBaboon,09/21/14,314.9335734,972.0505672,139.7534878,0,137.3258516
elatedBaboon,09/28/14,332.927125,1412.072513,163.6578207,0,101.0782226
elatedBaboon,10/05/14,402.9092406,1279.543998,187.5594208,0,96.22633665
elatedBaboon,10/12/14,412.0944922,1155.520077,215.1472305,0,92.03450947
elatedBaboon,10/19/14,403.0040995,773.877427,194.2501248,0,100.8903842
elatedBaboon,10/26/14,350.9673086,1182.682457,146.5531031,0,75.27865266
elatedBaboon,11/02/14,333.9123394,1314.418264,183.1143424,0,114.1448596
elatedBaboon,11/09/14,311.0399377,1226.800283,286.3443626,0,64.95118052
elatedBaboon,11/16/14,318.0372001,1107.147826,239.7744653,0,79.95311469
elatedBaboon,11/23/14,356.9615066,721.3838583,233.9250342,0,86.14044949
elatedBaboon,11/30/14,328.0617404,1385.543267,202.3013623,0,79.21627828
elatedBaboon,12/07/14,374.9407243,1293.79754,211.626873,0,78.71834893
elatedBaboon,12/14/14,324.9564051,1173.60587,210.0688749,0,79.61007484
elatedBaboon,12/21/14,387.9101503,552.700422,184.2923151,0,76.96081927
elatedBaboon,12/28/14,381.0256934,1433.189068,208.9150581,0,72.93887846
elatedBaboon,01/04/15,366.0685367,1313.300814,202.8782949,0,69.11364991
elatedBaboon,01/11/15,364.017834,1221.135704,137.3444434,0,96.41682423
elatedBaboon,01/18/15,381.9392373,865.0300388,334.4902537,0,44.22973101
elatedBaboon,01/25/15,349.9619913,1051.036401,143.5226881,0,88.16895977
elatedBaboon,02/01/15,307.9304358,1409.048242,135.0117565,0,133.2098707
elatedBaboon,02/08/15,338.9505475,1255.412923,200.0514356,0,80.92352155
elatedBaboon,02/15/15,345.032827,1103.677088,246.1528439,0,104.4147735
elatedBaboon,02/22/15,354.0498945,697.5940643,176.1130883,0,78.7441559
elatedBaboon,03/01/15,287.0426075,1346.777999,162.1860289,0,34.87279239
elatedBaboon,03/08/15,328.0699984,1279.165353,177.0622127,0,62.77929271
elatedBaboon,03/15/15,368.9705975,1124.224705,198.1390838,0,230.5962653
elatedBaboon,03/22/15,342.9928905,712.8748311,162.74176,0,102.1965643
elatedBaboon,03/29/15,308.9762755,1371.336097,195.6108327,0,107.2347573
elatedBaboon,04/05/15,345.9443901,1336.555625,169.8814032,0,107.7886458
elatedBaboon,04/12/15,381.0505035,1141.662762,191.4243816,0,107.8049308
elatedBaboon,04/19/15,458.0205813,1004.590719,187.541063,0,107.2768721
elatedBaboon,04/26/15,503.924689,1054.53436,171.8240089,0,97.392686
elatedBaboon,05/03/15,508.0487613,1116.589487,150.802837,0,109.4332703
elatedBaboon,05/10/15,460.9922589,1051.716043,214.458278,0,104.0134142
elatedBaboon,05/17/15,429.9260335,1035.828363,175.9872592,0,82.83934284
livelyDuck,12/01/13,468.0284473,721.7336405,172.591327,298.6895945,121.3781487
livelyDuck,12/08/13,490.0978178,665.4110549,104.7312246,153.6806349,96.24900752
livelyDuck,12/15/13,542.9275026,572.6109446,121.1891595,93.59534664,71.34845422
livelyDuck,12/22/13,550.0897082,503.2827114,154.146985,85.01604959,44.66862233
livelyDuck,12/29/13,501.0696313,706.1245569,119.1292617,78.25258554,159.6815998
livelyDuck,01/05/14,544.9503068,707.268823,90.23585139,72.71372814,135.6474683
